DEPARTAMENTO_DOMICILIO,CIUDAD_DOMICILIO,CIIU,INGRESOS_OPERACIONALES,TOTAL_ACTIVOS,TOTAL_PASIVOS,TOTAL_PATRIMONIO,ANO_DE_CORTE,SUPERVISOR_SUPERSALUD,SUPERVISOR_SUPERSERVICIOS,SUPERVISOR_SUPERSOCIEDADES,SUPERVISOR_SUPERTRANSPORTE,SUPERVISOR_SUPERVIGILANCIA,REGION_Bogotá - Cundinamarca,REGION_Centro - Oriente,REGION_Costa Atlántica,REGION_Costa Pacífica,REGION_Eje Cafetero,REGION_Otros,MACROSECTOR_COMERCIO,MACROSECTOR_CONSTRUCCIÓN,MACROSECTOR_MANUFACTURA,MACROSECTOR_MINERO,MACROSECTOR_SERVICIOS
5,60,328,144.82,216.85,125.81,91.03,2022,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
6,108,54,27.86,42.84,16.48,26.36,2022,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
5,60,218,23.6,7.48,4.47,3.01,2022,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
5,60,293,16.39,10.45,9.0,1.45,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
5,60,293,15.27,14.27,6.34,7.93,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
1,185,225,15.13,14.85,7.62,7.23,2022,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,343,170,15.07,59.47,30.24,29.23,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,60,370,14.78,5.91,5.43,0.49,2022,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
5,60,297,14.63,23.43,14.67,8.76,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
5,60,225,13.96,4.9,4.75,0.15,2022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
5,63,262,11.44,17.89,19.33,-1.45,2022,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
5,60,234,11.14,6.14,3.96,2.18,2022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
5,60,168,10.87,27.06,11.89,15.17,2022,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
5,60,207,9.66,5.05,3.98,1.07,2022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
1,343,370,9.3,2.1,1.87,0.24,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,60,370,8.72,2.47,2.39,0.08,2022,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
5,60,225,8.62,5.2,5.1,0.1,2022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
